Team,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
LAL,2021,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAL,2021,Team,72,17455,2925,6197,.472,796,2248,.354,2129,3949,.539,1241,1679,.739,695,2490,3185,1775,562,386,1095,1377,7887
LAL,2021,Team/G,,242.4,40.6,86.1,.472,11.1,31.2,.354,29.6,54.8,.539,17.2,23.3,.739,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5
LAL,2021,Lg Rank,,4,21,27,12,25,24,21,12,12,13,11,6,28,17,15,16,15,11,5,28,16,22
LAL,2021,Year/Year,,0.7%,-4.0%,-2.5%,-.007,0.4%,-1.1%,+.005,-5.6%,-3.3%,-.013,-2.9%,-4.2%,+.010,-9.5%,-1.4%,-3.3%,-2.9%,-9.4%,-18.7%,0.3%,-7.7%,-3.4%
LAL,2021,Opponent,72,17455,2862,6221,.460,818,2321,.352,2044,3900,.524,1144,1475,.776,634,2392,3026,1776,593,327,1095,1530,7686
LAL,2021,Opponent/G,,242.4,39.8,86.4,.460,11.4,32.2,.352,28.4,54.2,.524,15.9,20.5,.776,8.8,33.2,42.0,24.7,8.2,4.5,15.2,21.3,106.8
LAL,2021,Lg Rank,,4,5,6,8,3,4,4,13,16,9,9,8,12,2,9,4,13,26,8,4,3,2
LAL,2021,Year/Year,,0.7%,1.8%,-0.8%,+.012,-2.5%,-3.5%,+.004,3.6%,0.8%,+.014,-11.2%,-10.5%,-.005,-6.4%,1.1%,-0.6%,5.4%,-0.0%,22.6%,-4.4%,-2.3%,-0.8%
MEM,2021,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MEM,2021,Team,72,17405,3085,6608,.467,803,2258,.356,2282,4350,.525,1184,1536,.771,803,2543,3346,1938,655,364,957,1349,8157
MEM,2021,Team/G,,241.7,42.8,91.8,.467,11.2,31.4,.356,31.7,60.4,.525,16.4,21.3,.771,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3
MEM,2021,Lg Rank,,11,7,2,18,24,23,20,4,3,20,19,17,18,2,9,4,4,1,12,10,9,15
MEM,2021,Year/Year,,0.4%,0.7%,1.0%,-.001,2.0%,-0.3%,+.008,0.2%,1.7%,-.008,-1.0%,-2.0%,+.008,8.0%,-2.4%,-0.1%,-0.0%,15.3%,-7.3%,-12.8%,-11.5%,0.6%
MEM,2021,Opponent,72,17405,2953,6387,.462,926,2526,.367,2027,3861,.525,1251,1588,.788,704,2515,3219,1827,552,377,1068,1318,8083
MEM,2021,Opponent/G,,241.7,41.0,88.7,.462,12.9,35.1,.367,28.2,53.6,.525,17.4,22.1,.788,9.8,34.9,44.7,25.4,7.7,5.2,14.8,18.3,112.3
MEM,2021,Lg Rank,,11,13,16,11,18,18,18,12,10,11,20,15,27,12,20,18,19,18,20,7,25,16
MEM,2021,Year/Year,,0.4%,1.0%,-1.8%,+.013,-0.3%,-0.7%,+.001,1.6%,-2.4%,+.021,-11.3%,-11.9%,+.006,-5.6%,1.2%,-0.3%,2.1%,-4.3%,-1.0%,0.3%,-9.3%,-1.3%
MIA,2021,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIA,2021,Team,72,17380,2824,6029,.468,932,2606,.358,1892,3423,.553,1201,1520,.790,579,2409,2988,1895,569,286,1013,1363,7781
MIA,2021,Team/G,,241.4,39.2,83.7,.468,12.9,36.2,.358,26.3,47.5,.553,16.7,21.1,.790,8.0,33.5,41.5,26.3,7.9,4.0,14.1,18.9,108.1
MIA,2021,Lg Rank,,16,26,30,15,14,11,19,25,29,5,13,21,12,29,23,29,9,9,30,17,12,25
MIA,2021,Year/Year,,-0.7%,-0.6%,-0.8%,+.001,-3.5%,2.3%,-.021,0.9%,-2.9%,+.021,-15.4%,-16.2%,+.008,-5.3%,-6.7%,-6.5%,1.5%,5.5%,-12.7%,-5.6%,-7.9%,-3.5%
MIA,2021,Opponent,72,17380,2815,6137,.459,1027,2814,.365,1788,3323,.538,1122,1435,.782,684,2404,3088,1857,541,287,1085,1414,7779
MIA,2021,Opponent/G,,241.4,39.1,85.2,.459,14.3,39.1,.365,24.8,46.2,.538,15.6,19.9,.782,9.5,33.4,42.9,25.8,7.5,4.0,15.1,19.6,108.0
MIA,2021,Lg Rank,,16,3,2,6,27,29,15,1,1,20,6,6,20,8,11,10,23,13,4,5,10,5
MIA,2021,Year/Year,,-0.7%,0.8%,-1.6%,+.011,8.9%,3.6%,+.018,-3.3%,-5.7%,+.013,-15.5%,-15.4%,-.001,2.9%,0.3%,0.8%,4.9%,0.6%,-3.6%,7.6%,-9.5%,-1.0%
MIL,2021,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIL,2021,Team,72,17330,3221,6610,.487,1038,2669,.389,2183,3941,.554,1169,1539,.760,741,2724,3465,1834,585,334,995,1244,8649
MIL,2021,Team/G,,240.7,44.7,91.8,.487,14.4,37.1,.389,30.3,54.7,.554,16.2,21.4,.760,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1
MIL,2021,Lg Rank,,22,1,1,3,5,8,5,8,13,4,23,16,23,12,1,2,14,7,19,15,2,1
MIL,2021,Year/Year,,-0.1%,3.3%,1.0%,+.011,4.5%,-4.7%,+.034,2.8%,5.2%,-.013,-11.3%,-13.3%,+.017,8.7%,-10.4%,-6.9%,-1.6%,12.8%,-21.1%,-8.5%,-11.9%,1.2%
